neutrino	rt @brisbanelions: so….. who’s everyone picking tomorrow, mayweather or pacquiao??? aflsunslions notmuchlefttosay	Sun May 03 10:28:45 +0000 2015
negative	to the afl - the term qclash has never caught on, is not popular and widely regarded as crap. plse fk it off. aflsunslions	Sun May 03 06:50:02 +0000 2015
positive	rt @afl: ft: @goldcoastsuns 18.10 (118) d @brisbanelions 7.12 (54) the suns have their first win of the year! aflsunslions URL	Sun May 03 05:53:38 +0000 2015
positive	rt @afl: ft: @goldcoastsuns 18.10 (118) d @brisbanelions 7.12 (54) the suns have their first win of the year! aflsunslions URL	Sun May 03 04:25:34 +0000 2015
positive	rt @afl: ft: @goldcoastsuns 18.10 (118) d @brisbanelions 7.12 (54) the suns have their first win of the year! aflsunslions URL	Sun May 03 03:48:40 +0000 2015
negative	rt @willhillaus: and that's all she wrote! qclash aflsunslions URL	Sun May 03 03:47:03 +0000 2015
neutrino	rt @brisbanelions: so….. who’s everyone picking tomorrow, mayweather or pacquiao??? aflsunslions notmuchlefttosay	Sun May 03 03:44:35 +0000 2015
positive	rt @lukelaver: at 0-5,the coaching staff @brisbanelions need to take some accountability as well.it ain't just the players! aflsunslions …	Sun May 03 02:40:25 +0000 2015
positive	aflsunslions the suns win by 64	Sun May 03 01:53:24 +0000 2015
negative	the lions year continues to descend into madness URL @brisbanelions @brislionfanclub @brisbane1lions aflsunslions	Sun May 03 01:07:31 +0000 2015
negative	revitalized suns destroy insipid lions URL by @zacstandish afl aflsunslions URL	Sun May 03 01:03:44 +0000 2015
positive	is justin lepitsch in trouble jobwise? aflsunslions	Sun May 03 00:57:05 +0000 2015
negative	rt @afl: ouch. the lions have called for the stretcher after tom rockliff's heavy hit from steven may aflsunslions URL	Sat May 02 23:31:09 +0000 2015
neutrino	rt @goldcoastsuns: winners are grinners. aflsunslions URL	Sat May 02 23:13:38 +0000 2015
neutrino	rt @georgieparker: they say you learn something everyday.. so today i learnt to never tip the brisbane lions... terrible aflsunslions	Sat May 02 22:40:10 +0000 2015
positive	rt @lukelaver: at 0-5,the coaching staff @brisbanelions need to take some accountability as well.it ain't just the players! aflsunslions …	Sat May 02 22:37:36 +0000 2015
negative	rt @dancrowley99: being a republican and a brisbane supporter, getting out of bed today was hard aflsunslions royalbaby	Sat May 02 22:37:21 +0000 2015
negative	being a republican and a brisbane supporter, getting out of bed today was hard aflsunslions royalbaby	Sat May 02 22:36:30 +0000 2015
positive	rt @lukelaver: at 0-5,the coaching staff @brisbanelions need to take some accountability as well.it ain't just the players! aflsunslions …	Sat May 02 22:30:22 +0000 2015
positive	good to see the @goldcoastsuns get a much needed win yesterday over the lions. do the same next week. aflsunslions fireup	Sat May 02 22:24:52 +0000 2015
positive	at 0-5,the coaching staff @brisbanelions need to take some accountability as well.it ain't just the players! aflsunslions brisbanelions	Sat May 02 22:21:56 +0000 2015
